action_taken,applicant_income_000s,applicant_race_1,applicant_sex,lien_status,loan_purpose,loan_type,msamd,owner_occupancy,preapproval,property_type,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income,ID
1,217.0,5,1,1,1,1,35614.0,2,2,1,71300.0,576,360.0,308.0,12.890000343322754,3313.0,84.91000366210938,2598
3,90.0,5,1,3,2,1,35004.0,2,3,1,109000.0,35,1780.0,1441.0,36.4900016784668,5642.0,100.97000122070312,9123
1,44.0,6,3,1,1,1,21300.0,1,1,1,64300.0,40,2590.0,2194.0,3.359999895095825,5931.0,104.19000244140624,22
3,30.0,3,2,3,2,1,40380.0,1,3,1,69700.0,10,1463.0,802.0,61.310001373291016,3577.0,92.86000061035156,5919
1,34.0,5,1,1,1,1,15380.0,1,2,1,69000.0,90,1978.0,1595.0,5.619999885559082,4770.0,90.1500015258789,9345
1,101.0,5,1,1,3,1,40380.0,2,3,1,69700.0,105,1220.0,963.0,16.190000534057617,2353.0,101.8000030517578,8927
1,1149.0,5,1,1,1,1,35614.0,1,3,1,71300.0,3200,600.0,260.0,32.75,2516.0,185.4900054931641,9430
1,103.0,5,1,1,1,2,45060.0,1,2,1,68500.0,176,1884.0,1488.0,2.859999895095825,4617.0,125.25,7342
3,22.0,5,2,1,1,2,15380.0,1,2,1,69000.0,72,2025.0,1369.0,5.179999828338623,4712.0,85.94999694824219,1139
1,108.0,5,1,1,1,1,35614.0,1,3,1,71300.0,417,1071.0,860.0,45.75,3386.0,160.5800018310547,4352
1,79.0,5,1,1,1,1,27060.0,1,3,1,77200.0,183,1352.0,902.0,27.56999969482422,4070.0,80.13999938964844,9973
1,73.0,5,1,1,3,1,15380.0,1,3,1,69000.0,163,1807.0,1170.0,17.309999465942383,3819.0,125.66000366210938,10918
1,183.0,5,2,1,1,1,15380.0,1,3,1,69000.0,237,1387.0,1189.0,2.940000057220459,3401.0,121.70999908447266,5206
1,144.0,2,1,1,1,1,35614.0,1,2,1,71300.0,800,783.0,435.0,49.91999816894531,1979.0,130.75999450683594,10296
3,71.0,4,2,1,1,2,35614.0,1,3,1,71300.0,356,972.0,575.0,59.79999923706055,2811.0,100.83999633789062,6783
1,30.0,5,2,3,2,1,45060.0,1,3,1,68500.0,5,1602.0,1489.0,5.650000095367432,4268.0,111.12999725341795,3639
3,93.0,5,1,1,3,2,35004.0,1,3,1,109000.0,381,1568.0,1416.0,8.970000267028809,5105.0,122.87000274658205,4737
3,63.0,5,1,1,1,3,15380.0,1,2,1,69000.0,119,1037.0,875.0,6.360000133514404,2580.0,109.62999725341795,4535
1,53.0,5,1,1,3,2,15380.0,1,3,1,69000.0,247,1194.0,793.0,38.970001220703125,3634.0,145.2899932861328,2790
3,114.0,5,2,2,2,2,35614.0,1,3,1,71300.0,25,1450.0,784.0,97.0,4334.0,85.81999969482422,10827
1,43.0,5,2,1,1,2,15380.0,1,3,1,69000.0,91,1497.0,941.0,7.070000171661377,3788.0,82.08999633789062,6926
1,120.0,5,2,1,3,1,35004.0,1,3,1,109000.0,208,2707.0,2190.0,23.979999542236328,7998.0,84.7699966430664,9848
3,83.0,5,1,1,1,1,35004.0,1,3,1,109000.0,291,1675.0,1482.0,20.790000915527344,4670.0,104.51000213623048,941
3,96.0,2,1,1,1,1,35614.0,1,1,1,71300.0,219,754.0,700.0,28.059999465942383,2302.0,171.6999969482422,5763
1,52.0,5,1,1,2,1,15380.0,1,3,1,69000.0,103,1162.0,882.0,2.559999942779541,2775.0,95.37999725341795,1416
1,101.0,5,2,1,1,1,35614.0,1,3,1,71300.0,344,1427.0,1113.0,57.58000183105469,4653.0,105.63999938964844,11325
1,93.0,5,1,1,1,1,45060.0,1,3,1,68500.0,80,2277.0,1596.0,4.0,5197.0,91.13999938964844,7148
1,93.0,6,3,1,1,1,35614.0,1,2,1,71300.0,469,1278.0,920.0,88.18000030517578,4018.0,91.87000274658205,3404
1,440.0,5,1,1,1,1,15380.0,1,3,1,69000.0,240,1566.0,1472.0,6.829999923706055,4259.0,136.97000122070312,4760
3,125.0,5,1,1,3,1,35614.0,1,3,1,71300.0,417,2085.0,1598.0,12.239999771118164,6463.0,135.0399932861328,7923
1,35.0,5,2,3,2,1,40380.0,1,3,1,69700.0,5,2885.0,1845.0,2.309999942779541,5025.0,92.69000244140624,5527
1,234.0,5,1,1,3,1,35614.0,1,3,1,71300.0,811,85.0,849.0,39.93999862670898,5518.0,114.91000366210938,7336
3,29.0,5,1,3,2,1,45060.0,1,3,1,68500.0,3,1162.0,622.0,62.91999816894531,4096.0,51.209999084472656,5185
1,76.0,6,1,1,1,1,35614.0,1,3,1,71300.0,224,974.0,601.0,81.9800033569336,2896.0,111.66999816894533,3922
1,150.0,5,2,1,3,1,35004.0,1,3,1,109000.0,170,1599.0,896.0,32.630001068115234,3702.0,80.44000244140625,7482
3,40.0,5,2,1,3,1,40380.0,1,3,1,69700.0,90,1819.0,1250.0,8.149999618530273,5237.0,114.1500015258789,1649
3,66.0,5,1,3,2,1,40380.0,1,3,1,69700.0,10,1609.0,856.0,13.989999771118164,3482.0,88.48999786376953,2093
1,87.0,5,1,1,1,2,40380.0,1,2,1,69700.0,126,1858.0,1408.0,6.130000114440918,4255.0,112.87999725341795,8207
1,102.0,5,1,1,1,1,35614.0,1,3,1,71300.0,417,1793.0,1369.0,15.380000114440918,4843.0,125.43000030517578,11010
1,156.0,5,1,1,1,1,45060.0,1,2,1,68500.0,138,1139.0,1037.0,4.559999942779541,2958.0,136.02000427246094,9291
1,75.0,5,1,1,1,1,45060.0,1,3,1,68500.0,143,1063.0,1045.0,4.449999809265137,2967.0,123.20999908447266,6040
1,54.0,5,2,1,1,2,10580.0,1,3,1,82700.0,97,1021.0,389.0,24.6200008392334,2628.0,55.790000915527344,11594
3,74.0,5,2,1,1,1,35614.0,1,2,1,71300.0,464,2005.0,1488.0,11.5,5226.0,123.2699966430664,9352
1,467.0,5,1,1,1,1,35614.0,1,3,1,71300.0,543,58.0,489.0,25.399999618530277,4204.0,210.8600006103516,1546
1,149.0,5,1,1,3,1,35614.0,1,3,1,71300.0,231,1327.0,819.0,65.2699966430664,4990.0,106.91000366210938,9233
1,94.0,5,1,1,1,1,35614.0,1,3,1,71300.0,140,364.0,916.0,77.5199966430664,7415.0,52.33000183105469,479
1,61.0,3,2,1,3,1,45060.0,1,3,1,68500.0,80,741.0,236.0,67.19000244140625,2673.0,52.2400016784668,5854
1,40.0,5,2,1,1,2,45060.0,1,3,1,68500.0,98,2267.0,1916.0,2.970000028610229,5926.0,89.80999755859375,9371
1,200.0,2,2,1,1,1,35614.0,1,3,1,71300.0,552,2446.0,1842.0,29.6200008392334,5689.0,119.79000091552734,5891
1,609.0,5,1,1,3,1,35614.0,1,3,1,71300.0,515,1564.0,1351.0,21.690000534057617,4551.0,112.87000274658205,6128
1,170.0,5,1,1,1,1,10580.0,1,2,1,82700.0,319,2698.0,1693.0,9.770000457763672,5324.0,120.8499984741211,3829
1,58.0,5,2,1,1,1,27060.0,1,3,2,77200.0,45,2525.0,1791.0,8.920000076293945,6099.0,91.33999633789062,4295
1,279.0,5,2,1,1,1,35614.0,1,2,1,71300.0,779,1007.0,711.0,53.93999862670898,5539.0,97.72000122070312,3001
1,64.0,5,2,1,1,1,35004.0,1,3,1,109000.0,80,1581.0,1348.0,14.529999732971191,4473.0,67.52999877929688,1070
1,39.0,5,1,1,1,1,15380.0,1,2,1,69000.0,109,2159.0,1632.0,4.840000152587891,5329.0,129.0500030517578,8546
3,281.0,5,1,1,1,1,35614.0,1,3,1,71300.0,160,646.0,722.0,59.630001068115234,4080.0,89.9000015258789,5883
1,96.0,5,1,1,3,1,35614.0,1,3,1,71300.0,400,1587.0,490.0,76.69000244140625,5727.0,73.11000061035156,3290
1,98.0,6,2,1,1,1,35004.0,1,2,1,109000.0,320,1352.0,1251.0,8.119999885559082,4026.0,102.93000030517578,135
1,335.0,5,2,1,1,1,35614.0,1,2,1,71300.0,878,2017.0,720.0,17.59000015258789,5191.0,150.72000122070312,35
1,40.0,5,1,1,1,2,10580.0,1,3,1,82700.0,104,1671.0,594.0,16.610000610351562,3836.0,42.150001525878906,5929
1,53.0,5,2,3,2,1,40380.0,1,3,1,69700.0,3,1651.0,1414.0,5.760000228881836,4828.0,108.33999633789062,10073
3,49.0,5,1,1,1,1,45060.0,1,2,1,68500.0,90,1360.0,1205.0,6.510000228881836,4010.0,136.6999969482422,7303
1,86.0,3,2,1,1,2,40380.0,1,2,1,69700.0,107,1822.0,1557.0,13.869999885559082,4103.0,91.1500015258789,11666
1,129.0,5,2,1,1,1,35614.0,1,2,1,71300.0,117,1992.0,485.0,86.80999755859375,4957.0,41.540000915527344,662
1,92.0,5,2,1,1,1,10580.0,1,2,1,82700.0,108,1280.0,859.0,16.530000686645508,2607.0,118.54000091552734,2243
1,90.0,2,2,1,3,1,35614.0,1,3,1,71300.0,356,2724.0,1958.0,67.55999755859375,7216.0,112.4000015258789,4826
1,89.0,5,1,1,1,1,45060.0,1,2,1,68500.0,139,2307.0,2037.0,6.389999866485596,6934.0,167.3800048828125,6086
1,16.0,6,3,1,3,2,13780.0,1,3,1,66400.0,51,1218.0,454.0,35.25,3118.0,60.20000076293945,4641
1,35.0,5,1,3,2,1,40380.0,1,3,1,69700.0,5,1114.0,729.0,23.299999237060547,2790.0,105.52999877929688,11078
3,207.0,2,1,1,1,1,35614.0,1,3,1,71300.0,548,2005.0,1994.0,15.949999809265137,6089.0,325.82000732421875,7014
1,44.0,5,1,1,1,1,35614.0,1,3,1,71300.0,166,1418.0,810.0,78.41999816894531,7348.0,96.8000030517578,7835
1,56.0,5,2,1,3,1,35614.0,1,3,1,71300.0,75,2308.0,1000.0,43.630001068115234,6253.0,86.19999694824219,10874
3,119.0,5,1,1,3,1,35614.0,1,3,1,71300.0,613,164.0,732.0,20.979999542236328,2512.0,189.92999267578125,5218
1,104.0,5,1,2,3,1,45060.0,1,3,1,68500.0,47,1586.0,1202.0,10.229999542236328,7984.0,113.18000030517578,5689
1,81.0,5,2,1,3,1,40380.0,1,3,1,69700.0,97,1339.0,1208.0,8.739999771118164,3603.0,205.80999755859372,372
1,80.0,5,1,1,3,1,35614.0,1,3,1,71300.0,176,2643.0,1950.0,26.76000022888184,8525.0,106.12999725341795,5431
3,10.0,5,1,1,3,1,46540.0,1,3,1,63000.0,20,1137.0,940.0,4.420000076293945,2852.0,101.11000061035156,6130
3,42.0,5,1,1,1,1,35004.0,1,3,1,109000.0,304,3331.0,1938.0,11.079999923706056,5613.0,103.66000366210938,227
1,167.0,5,2,1,3,1,35614.0,1,3,1,71300.0,287,1564.0,1129.0,24.690000534057617,4362.0,106.02999877929688,3812
1,76.0,5,2,1,1,1,40380.0,1,2,1,69700.0,145,2894.0,2563.0,14.470000267028809,8682.0,114.8499984741211,6112
1,86.0,5,1,1,1,2,35614.0,1,3,1,71300.0,424,482.0,306.0,99.75,1577.0,127.68000030517578,2140
1,380.0,5,1,1,2,1,35614.0,1,3,1,71300.0,1000,1857.0,2032.0,17.139999389648438,6413.0,240.22000122070312,8937
3,900.0,5,1,1,3,1,35614.0,1,3,1,71300.0,2285,52.0,1344.0,17.530000686645508,7066.0,268.0599975585937,11530
1,107.0,5,1,1,1,1,35004.0,1,3,1,109000.0,351,1230.0,1199.0,11.25,3770.0,150.22000122070312,8272
1,46.0,5,2,1,3,1,35004.0,1,3,1,109000.0,223,3043.0,1780.0,55.47999954223633,7953.0,55.15999984741211,8691
3,65.0,5,1,1,1,1,35614.0,1,2,1,71300.0,273,1384.0,1310.0,15.90999984741211,4411.0,175.10000610351562,1140
3,133.0,6,3,1,3,2,20524.0,1,3,1,95200.0,231,1653.0,1376.0,18.530000686645508,4640.0,126.2300033569336,5615
1,71.0,5,2,1,1,1,35614.0,1,2,1,71300.0,340,317.0,357.0,1.5499999523162842,6630.0,32.599998474121094,7181
3,295.0,5,1,1,3,2,35004.0,1,3,1,109000.0,516,1416.0,759.0,21.18000030517578,2752.0,82.55999755859375,2784
1,31.0,5,1,1,1,1,13780.0,1,3,1,66400.0,54,1990.0,1510.0,7.869999885559082,4979.0,100.12000274658205,6257
1,99.0,5,1,1,3,1,35004.0,1,3,1,109000.0,247,1590.0,1447.0,6.730000019073486,4443.0,110.38999938964844,10303
1,92.0,5,1,1,1,1,35004.0,1,2,1,109000.0,100,1291.0,1119.0,29.100000381469727,4501.0,90.77999877929688,5146
1,181.0,5,1,1,3,1,35614.0,1,3,1,71300.0,173,1677.0,1592.0,26.18000030517578,5588.0,190.8300018310547,9534
1,51.0,3,1,1,3,1,15380.0,1,3,1,69000.0,23,1753.0,892.0,96.38999938964844,3520.0,44.83000183105469,6270
3,53.0,5,1,1,3,1,40380.0,1,3,1,69700.0,82,2892.0,1734.0,2.539999961853028,5348.0,82.69000244140625,3342
1,216.0,6,1,1,3,1,13780.0,1,3,1,66400.0,201,2102.0,1731.0,7.840000152587891,5064.0,135.3300018310547,6672
1,38.0,5,2,3,2,1,46540.0,1,3,1,63000.0,10,1878.0,1165.0,5.269999980926514,4386.0,99.58000183105467,6772
1,121.0,5,2,1,2,1,20524.0,1,3,1,95200.0,200,1941.0,1740.0,11.640000343322754,5449.0,123.36000061035156,1480
3,11.0,2,1,1,1,1,35614.0,2,3,1,71300.0,500,1950.0,1350.0,38.95000076293945,7628.0,97.9499969482422,5000
3,102.0,2,1,1,1,2,35614.0,1,3,1,71300.0,676,731.0,236.0,99.26000213623048,3094.0,34.79999923706055,6847
3,116.0,6,3,2,3,1,10580.0,1,3,1,82700.0,15,2004.0,1679.0,5.269999980926514,4967.0,106.91999816894533,7154
1,123.0,6,3,1,3,1,35614.0,1,3,1,71300.0,488,2103.0,1748.0,24.82999992370605,5333.0,134.57000732421875,1160
1,209.0,6,3,1,1,3,15380.0,1,2,1,69000.0,323,2853.0,2814.0,3.5799999237060547,8334.0,139.91000366210938,882
3,77.0,5,1,1,3,1,35614.0,1,3,1,71300.0,388,744.0,322.0,28.899999618530277,1789.0,99.19000244140624,428
1,480.0,5,2,1,3,1,35614.0,1,3,1,71300.0,825,59.0,1416.0,13.020000457763672,4799.0,353.54998779296875,1990
1,108.0,5,1,2,2,1,35004.0,1,3,1,109000.0,80,488.0,463.0,6.71999979019165,1489.0,206.38999938964844,5690
3,38.0,5,1,1,1,3,46540.0,1,3,1,63000.0,80,1952.0,849.0,18.309999465942383,4490.0,51.41999816894531,6438
1,91.0,5,1,1,1,2,28740.0,1,3,1,75200.0,190,1461.0,1171.0,11.210000038146973,3433.0,89.0999984741211,3720
1,69.0,3,2,1,1,1,35614.0,1,2,1,71300.0,136,183.0,414.0,76.2300033569336,4115.0,96.48999786376952,1522
1,113.0,5,1,1,1,1,35614.0,2,3,1,71300.0,473,414.0,80.0,98.0,3006.0,50.43999862670898,1936
1,415.0,5,1,1,2,1,35614.0,1,3,1,71300.0,900,11.0,1410.0,46.18999862670898,11740.0,113.12000274658205,11396
1,59.0,5,1,1,1,2,45060.0,1,2,1,68500.0,88,1634.0,1126.0,8.550000190734863,4012.0,98.87000274658205,11442
1,136.0,5,1,1,3,1,35614.0,1,3,1,71300.0,273,1870.0,1850.0,16.510000228881836,5589.0,176.7100067138672,8474
1,77.0,2,1,1,3,1,35614.0,1,3,1,71300.0,395,1160.0,537.0,88.25,4120.0,77.45999908447266,11076
1,65.0,2,1,1,3,1,35614.0,1,3,1,71300.0,373,1471.0,1438.0,62.34999847412109,10910.0,89.05000305175781,10394
1,74.0,5,2,1,3,1,35614.0,1,3,1,71300.0,127,368.0,471.0,33.619998931884766,2082.0,128.61000061035156,11519
1,70.0,5,1,1,1,1,15380.0,1,3,1,69000.0,114,799.0,612.0,12.449999809265137,1518.0,84.9800033569336,10418
1,562.0,6,1,1,3,1,35614.0,1,3,1,71300.0,765,963.0,901.0,10.9399995803833,3539.0,367.6099853515625,822
3,187.0,5,1,1,3,1,45060.0,1,3,1,68500.0,217,1389.0,1227.0,3.890000104904175,3525.0,106.87000274658205,10395
1,225.0,5,1,1,3,1,35004.0,1,3,1,109000.0,335,2172.0,2097.0,12.550000190734863,7381.0,110.37000274658205,2316
1,30.0,2,1,1,1,1,35614.0,2,3,1,71300.0,210,1327.0,819.0,65.2699966430664,4990.0,106.91000366210938,1297
1,51.0,5,2,1,1,1,15380.0,1,1,1,69000.0,89,1497.0,941.0,7.070000171661377,3788.0,82.08999633789062,4137
1,214.0,5,1,1,3,1,35004.0,1,3,1,109000.0,317,2108.0,1540.0,19.40999984741211,6722.0,94.88999938964844,5469
1,42.0,5,2,3,2,1,40380.0,1,3,1,69700.0,5,2001.0,1200.0,5.320000171661377,4718.0,61.43000030517578,11510
1,85.0,5,1,1,1,2,10580.0,1,3,1,82700.0,108,2573.0,2159.0,5.860000133514404,7078.0,100.18000030517578,5297
1,70.0,5,1,1,1,2,35004.0,1,3,1,109000.0,191,1512.0,1334.0,85.9000015258789,6391.0,78.75,10751
1,65.0,5,1,1,1,1,15380.0,2,2,1,69000.0,41,1430.0,324.0,79.01000213623047,3773.0,25.790000915527344,5305
1,61.0,5,1,1,1,1,45060.0,1,3,1,68500.0,86,1534.0,646.0,35.2400016784668,4004.0,55.65999984741211,5508
1,65.0,5,2,1,1,1,10580.0,1,2,1,82700.0,196,2129.0,1696.0,8.270000457763672,5768.0,127.36000061035156,1912
1,120.0,5,1,1,3,1,15380.0,1,3,1,69000.0,207,1467.0,1203.0,3.220000028610229,3754.0,106.97000122070312,1961
1,153.0,2,1,1,1,1,35614.0,1,3,1,71300.0,360,776.0,444.0,54.33000183105469,2551.0,115.70999908447266,2262
3,110.0,5,1,1,1,1,35614.0,1,2,1,71300.0,480,725.0,599.0,66.9800033569336,3225.0,101.1999969482422,7232
1,152.0,5,2,1,3,1,35004.0,1,3,1,109000.0,155,1100.0,1059.0,7.760000228881836,3468.0,116.37999725341795,1806
1,99.0,5,2,1,1,1,40380.0,1,2,1,69700.0,100,2008.0,1536.0,4.800000190734863,5166.0,114.5999984741211,9256
1,340.0,2,1,1,1,1,35614.0,2,1,1,71300.0,648,1069.0,747.0,34.72999954223633,3907.0,106.08000183105467,2663
3,92.0,3,1,1,1,1,35004.0,1,3,1,109000.0,250,1213.0,1231.0,64.91999816894531,4416.0,90.48999786376952,7272
1,119.0,5,1,1,2,1,35614.0,1,3,1,71300.0,350,2763.0,1655.0,3.430000066757202,4079.0,142.13999938964844,11648
1,60.0,5,2,3,2,1,40380.0,1,3,1,69700.0,14,2199.0,1816.0,14.390000343322754,5906.0,83.11000061035156,11538
1,48.0,5,1,1,2,1,24020.0,1,3,1,65400.0,50,1730.0,1541.0,5.849999904632568,4788.0,152.91000366210938,10411
1,42.0,5,1,1,1,2,15380.0,1,3,1,69000.0,83,1779.0,632.0,54.5,4182.0,37.310001373291016,2519
